stock_code,market_id,revenue,total_net_sales_qty,mean_net_sales_qty,std_net_sales_qty,active_days,value_share,cumulative_share,abc_segment,coefficient_of_variation,xyz_segment,abc_xyz_segment
23493,United Kingdom,7353.63,3377,50.40298507462686,47.44280757875023,67,0.0003812689617980391,0.5875682648517138,A,0.9412697979793502,Y,AY
23078,United Kingdom,7288.74,5779,41.57553956834533,40.015391679511616,139,0.00037790456313627956,0.5902229921193188,A,0.9624743802478135,Y,AY
22423,Netherlands,6805.349999999999,621,32.68421052631579,25.54093148823178,19,0.0003528418929389003,0.5979112699003949,A,0.781445568883098,Y,AY
POST,Belgium,6646.0,402,3.268292682926829,2.6273254203570255,123,0.0003445799584844176,0.604166979057831,A,0.8038831510047616,Y,AY
23103,United Kingdom,6644.86,3950,30.15267175572519,29.43401310426759,131,0.00034452085208166826,0.6045114999099127,A,0.976166004217482,Y,AY
POST,Switzerland,6565.0,144,2.938775510204082,2.1154999730688773,49,0.00034038029302591055,0.6072442077064012,A,0.7198576297248263,Y,AY
22739,United Kingdom,6172.11,3188,17.420765027322403,16.343934098897353,183,0.00032000984164328296,0.6178175094468962,A,0.9381869322767302,Y,AY
84997D,Spain,6154.47,1737,193.0,155.54742042219794,9,0.00031909524783231926,0.6187754723216387,A,0.8059451835347043,Y,AY
23311,United Kingdom,5945.05,2177,22.677083333333332,17.128305161903736,96,0.0003082372979518187,0.629131178506707,A,0.7553134109061822,Y,AY
84997C,Spain,5867.87,1661,207.625,140.03258549352003,8,0.00030423569079024367,0.632493569624682,A,0.6744495388008189,Y,AY
21500,United Kingdom,5781.0,14350,47.51655629139073,46.671162396035875,302,0.0002997316792052992,0.6355105802553493,A,0.9822084350942741,Y,AY
20712,Netherlands,5657.5,3330,151.36363636363637,83.62589337812807,22,0.00029332848557411865,0.6381784161824344,A,0.5524833796753206,Y,AY
22826,United Kingdom,5395.0,51,1.457142857142857,1.2682284342122825,35,0.00027971845862525326,0.6456355609679454,A,0.8703528470084292,Y,AY
22158,Netherlands,5071.2,1936,161.33333333333334,129.8427953917795,12,0.00026293016633556704,0.657279466832507,A,0.8048107152383026,Y,AY
21495,United Kingdom,4888.3,11915,44.79323308270677,40.5278207645418,266,0.0002534472180348147,0.6642545584623739,A,0.9047755202155365,Y,AY
35961,Netherlands,4868.77,6697,248.03703703703704,213.22008879982735,27,0.00025243463202981916,0.6652655802216055,A,0.859630042943906,Y,AY
23263,United Kingdom,4744.85,3525,25.919117647058822,24.85097960571845,136,0.00024600966235552047,0.6694969085652835,A,0.9587895677667261,Y,AY
23503,United Kingdom,4724.3,3534,51.970588235294116,41.167647994995534,68,0.0002449441916743807,0.6699875414819161,A,0.7921335777192123,Y,AY
23052,United Kingdom,4678.84,500,3.9682539682539684,3.271541552079711,126,0.00024258719424544576,0.6719386303562648,A,0.8244284711240871,Y,AY
23126,United Kingdom,4675.04,921,6.440559440559441,6.269333340148109,143,0.0002423901729029479,0.6721810205291677,A,0.9734144056907488,Y,AY
21731,France,4595.25,2785,24.866071428571427,21.34466008530036,112,0.00023825324318770992,0.6755508077246445,A,0.8583848939151313,Y,AY
22328,Germany,4591.450000000001,1615,12.817460317460318,12.249669901610112,126,0.0002380562218452121,0.6757888639464897,A,0.9557018003732966,Y,AY
84997b,United Kingdom,4534.32,539,6.654320987654321,5.637287676327954,81,0.00023509416150392182,0.6781515998812636,A,0.8471619699119931,Y,AY
16161P,United Kingdom,4533.4,10678,40.446969696969695,38.77826493135723,264,0.00023504646159994865,0.6783866463428636,A,0.9587433921968822,Y,AY
23351,United Kingdom,4437.0199999999995,3172,36.04545454545455,29.739446728966502,88,0.00023004937818154236,0.682106484986897,A,0.8250540076131943,Y,AY
84406B,Netherlands,4437.0,1436,75.57894736842105,46.949518740254625,19,0.00023004834122710818,0.682336533328124,A,0.6211983677331739,Y,AY
23583,United Kingdom,4401.08,2660,66.5,47.33568069296845,40,0.00022818597106328628,0.6841677253829729,A,0.7118147472626835,Y,AY
22131,Netherlands,4358.7,2634,105.36,75.69834872703632,25,0.00022598866461721802,0.6855308242812481,A,0.7184733174547866,Y,AY
22653,United Kingdom,4350.74,2316,10.293333333333333,10.06510946644042,225,0.0002255759567524067,0.6859822509876781,A,0.9778279922059994,Y,AY
22505,Netherlands,4335.45,1015,40.6,32.67771921865621,25,0.00022478320508746138,0.6873332154451643,A,0.8048699314939952,Y,AY
21559,Netherlands,4221.75,2005,83.54166666666667,64.41845480016251,24,0.00021888811912903854,0.6922172257227249,A,0.7710937232937157,Y,AY
22374,United Kingdom,4112.22,817,3.1544401544401546,2.959561036107109,259,0.00021320923817014624,0.695667426142188,A,0.9382206956569661,Y,AY
23310,United Kingdom,4057.68,9710,82.28813559322033,67.50791048233428,118,0.0002103814634280848,0.6969406807158982,A,0.8203844940180686,Y,AY
23234,United Kingdom,4027.42,1318,12.433962264150944,11.537944743880871,106,0.00020881255136914132,0.699033662287205,A,0.9279378929069593,Y,AY
22554,Netherlands,3981.75,2739,105.34615384615384,91.58643668478092,26,0.00020644466591864728,0.7015197600247205,A,0.8693856713414765,Y,AY
21034,United Kingdom,3979.5499999999997,4191,7.6899082568807335,7.457304267635669,545,0.00020633060093088536,0.7019324772221217,A,0.9697520462566069,Y,AY
POST,Finland,3953.0,102,2.4285714285714284,2.049900142039727,42,0.00020495404391948584,0.7035757129901367,A,0.8440765290751818,Y,AY
22736,United Kingdom,3947.08,2122,13.2625,13.037192804680583,160,0.00020464710540696283,0.703985158596298,A,0.9830117100607414,Y,AY
POST,Netherlands,3837.0,235,2.611111111111111,2.221925698069205,90,0.00019893970820113006,0.7084223778722271,A,0.8509502673456529,Y,AY
23494,United Kingdom,3809.6600000000003,536,9.084745762711865,8.616920274695355,59,0.00019752219148957967,0.7098094044940715,A,0.9485042839683319,Y,AY
23012,United Kingdom,3778.86,956,8.101694915254237,7.631905398305975,118,0.00019592528166091278,0.7113812122482724,A,0.9420134278243777,Y,AY
84580,United Kingdom,3732.2,971,3.5830258302583027,3.225983581746922,271,0.00019350606696592586,0.7142995364439141,A,0.9003517514453304,Y,AY
23198,United Kingdom,3536.6,2230,16.64179104477612,15.982792902008416,134,0.00018336465259945702,0.7256020385414234,A,0.9604010084614922,Y,AY
20725,Netherlands,3516.5,2410,92.6923076923077,69.25649094822478,26,0.00018232251339308676,0.7266996459959106,A,0.7471654625119686,Y,AY
23007,United Kingdom,3500.5,223,2.144230769230769,1.9429647510694659,104,0.00018149294984572733,0.7274263638840089,A,0.906136027404594,Y,AY
23314,United Kingdom,3498.96,269,4.075757575757576,3.1686473991793944,66,0.00018141310435429398,0.7276077769883632,A,0.7774376518432714,Y,AY
22959,United Kingdom,3488.92,8326,67.6910569105691,61.667954066191044,123,0.00018089255322832596,0.7281513194680462,A,0.911020700233185,Y,AY
20726,Netherlands,3457.5,2350,106.81818181818181,54.194215438670085,22,0.0001792634978121989,0.7292293290022042,A,0.5073501019790391,Y,AY
POST,Sweden,3448.54,85,1.8478260869565217,1.4137010732957944,46,0.0001787989422256776,0.7303035318766343,A,0.7650617573130182,Y,AY
22244,Netherlands,3442.95,2061,103.05,70.28923328497385,20,0.00017850911346131893,0.7304820409900956,A,0.6820886296455493,Y,AY
84078A,EIRE,3430.1,98,14.0,12.7148207485071,7,0.00017784287023734588,0.7308383820857728,A,0.9082014820362214,Y,AY
22589,United Kingdom,3417.99,1206,9.571428571428571,9.124409961354054,126,0.00017721499432743823,0.7311929795425688,A,0.953296563126543,Y,AY
23480,United Kingdom,3414.94,859,19.976744186046513,19.297777286384715,43,0.00017705685877622286,0.731370036401345,A,0.9660121342427738,Y,AY
84997D,Netherlands,3410.1800000000003,950,63.333333333333336,35.51793644799497,15,0.00017681006362088345,0.7315468464649659,A,0.5608095228630785,Y,AY
23332,United Kingdom,3392.56,1968,20.71578947368421,18.818089507736023,95,0.00017589650676435385,0.7326044197011347,A,0.9083935483917287,Y,AY
23569,United Kingdom,3368.56,664,16.195121951219512,12.456362856378105,41,0.00017465216144331474,0.7334809909853823,A,0.7691428872161179,Y,AY
23050,United Kingdom,3354.3,384,3.4909090909090907,3.117707504465875,110,0.00017391281293173066,0.7338288539416055,A,0.8930932955501205,Y,AY
23013,United Kingdom,3321.01,827,7.254385964912281,6.4448805278185235,114,0.000172186802276006,0.7353881233612655,A,0.8884115842458424,Y,AY
22823,United Kingdom,3310.0,29,1.7058823529411764,1.1048023512348795,17,0.00017161595885997928,0.7359036888103139,A,0.6476427576204467,Y,AY
84879,France,3295.88,2132,66.625,64.59089619263493,32,0.0001708838690294346,0.7362461357535272,A,0.9694693612402991,Y,AY
21577,United Kingdom,3277.12,1326,5.304,5.297152375868818,250,0.00016991120577015568,0.7365865124172125,A,0.9987089698093549,Y,AY
84997d,United Kingdom,3258.31,390,4.875,3.7999833444005415,80,0.00016893595012479126,0.7374335569424237,A,0.7794837629539573,Y,AY
84836,Netherlands,3246.48,3024,201.6,145.22337474190775,15,0.0001683225915769624,0.7384449737812948,A,0.7203540413785107,Y,AY
22670,United Kingdom,3204.4900000000002,2408,10.117647058823529,9.831643110622649,238,0.00016614550574236105,0.7404498873309822,A,0.9717321679103781,Y,AY
22794,United Kingdom,3200.4900000000002,377,2.4012738853503186,2.012333358641364,157,0.0001659381148555212,0.7407817703008971,A,0.8380274199116555,Y,AY
23350,United Kingdom,3176.33,2497,27.141304347826086,24.88283821915057,92,0.00016468547389900844,0.7416080461842229,A,0.9167885927760724,Y,AY
POST,Italy,3169.0,77,2.9615384615384617,2.4896709699198283,26,0.0001643054300988744,0.7422656806124832,A,0.8406681197131888,Y,AY
22556,France,3147.15,1919,20.2,18.094080376765522,95,0.00016317255737951172,0.7439014622335476,A,0.8957465533052239,Y,AY
21055,United Kingdom,3092.56,299,1.929032258064516,1.6080547150159812,155,0.0001603421902513648,0.7458387549476265,A,0.833606959289221,Y,AY
20750,Netherlands,3081.35,485,23.095238095238095,17.32023314480715,21,0.00015976097729099612,0.7464791266769435,A,0.7499482392596911,Y,AY
23049,United Kingdom,3063.59,355,3.514851485148515,3.3154603342104356,101,0.00015884016175342718,0.7469564746518422,A,0.9432718133950817,Y,AY
22386,Netherlands,3061.85,1801,90.05,60.79341636792763,20,0.00015874994671765183,0.747274018615841,A,0.6751073444522779,Y,AY
84997B,Netherlands,3055.1400000000003,870,66.92307692307692,54.10246688531793,13,0.00015840204850497798,0.7479084470408184,A,0.8084276661024519,Y,AY
20719,Netherlands,3041.25,4205,127.42424242424242,82.38743468478305,33,0.00015768188365042658,0.7488565702549346,A,0.6465601295119716,Y,AY
23254,United Kingdom,3025.26,720,5.454545454545454,4.277338896567123,132,0.00015685283858028428,0.7499568250540923,A,0.7841787977039726,Y,AY
20724,Netherlands,3020.0,4180,139.33333333333334,76.65117284719508,30,0.00015658011956408985,0.7501134051736564,A,0.5501280347884814,Y,AY
POST,Norway,2990.5,60,3.0,2.635786110641877,20,0.00015505061177364593,0.7518284220384698,A,0.878595370213959,Y,AY
84997c,United Kingdom,2984.2799999999997,356,4.746666666666667,3.349438570676992,75,0.00015472811894460994,0.7522927313483129,A,0.705640148316782,Y,AY
23329,United Kingdom,2982.0899999999997,1733,18.634408602150536,16.547550026354592,93,0.00015461457243406512,0.752602058485375,A,0.8880104745822142,Y,AY
POST,Austria,2976.0,75,2.586206896551724,1.8995721582073302,29,0.00015429881980885145,0.7529109464722343,A,0.7345012345068344,Y,AY
23393,United Kingdom,2949.16,732,9.631578947368421,8.57879883629895,76,0.00015290722695815602,0.7542941819886675,A,0.8906949611457925,Y,AY
21056,United Kingdom,2944.38,304,2.1870503597122304,1.980222302422316,139,0.00015265939484838243,0.7547525573267609,A,0.9054305922259931,Y,AY
21473,United Kingdom,2932.86,143,1.9589041095890412,1.7514942522535781,73,0.00015206210909428364,0.7552091584358175,A,0.8941194434581203,Y,AY
23353,United Kingdom,2929.57,3279,36.43333333333333,34.951668073549726,90,0.00015189153008985786,0.7553610499659074,A,0.959332152064494,Y,AY
22294,Netherlands,2928.7700000000004,2737,228.08333333333334,130.6963575574617,12,0.0001518500519124899,0.7555129000178199,A,0.5730202012018781,Y,AY
23395,United Kingdom,2923.33,633,8.44,7.775985207415582,75,0.00015156800030638768,0.7556644680181263,A,0.9213252615421306,Y,AY
23110,United Kingdom,2920.03,471,3.7983870967741935,3.6425217716669764,124,0.00015139690282474483,0.7561187167960487,A,0.9589653921161466,Y,AY
21731,Germany,2918.85,1769,18.051020408163264,14.151880461532924,98,0.00015133572251312705,0.7562700525185618,A,0.7839933777446165,Y,AY
22816,United Kingdom,2906.73,6677,41.9937106918239,39.86678717539103,159,0.00015070732812600229,0.7568742625358951,A,0.949351379494859,Y,AY
85220,Denmark,2836.8,9456,4728.0,3145.2109627177633,2,0.00014708161694682454,0.7606011358788101,A,0.665230745075669,Y,AY
22554,France,2739.6,1672,18.17391304347826,15.305395655394854,92,0.0001420420183966161,0.7653597674772541,A,0.8421629188375158,Y,AY
23051,United Kingdom,2736.74,306,3.154639175257732,3.116957003585277,97,0.00014189373391252557,0.7655016612111666,A,0.9880549978685356,Y,AY
22352,France,2703.0,1060,10.095238095238095,7.375275496189187,105,0.0001401443917820314,0.7676161663271867,A,0.7305697425470421,Y,AY
21121,Netherlands,2684.7400000000002,2498,178.42857142857142,173.85746340729116,14,0.0001391976523836075,0.7688717434201797,A,0.9743813001209273,Y,AY
21218,Netherlands,2674.5,822,39.142857142857146,26.401298669356617,21,0.00013866673171329745,0.7692879826333167,A,0.6744857324288186,Y,AY
21742,United Kingdom,2636.2000000000003,434,2.8366013071895426,2.6118593808864587,153,0.00013668096397180586,0.7703849725814383,A,0.920770703400065,Y,AY
22375,United Kingdom,2598.68,507,2.4375,2.3602868694885784,208,0.00013473563745324801,0.7721491027191189,A,0.9683228182517245,Y,AY
22382,Netherlands,2598.65,1781,80.95454545454545,64.96187693213193,22,0.00013473408202159672,0.7722838368011404,A,0.8024487886057846,Y,AY
84997D,Finland,2596.44,708,44.25,33.51318148629481,16,0.0001346194985566177,0.7725531737904477,A,0.7573600335885833,Y,AY
23333,United Kingdom,2584.2,2000,21.978021978021978,19.312044613532436,91,0.00013398488244288775,0.7734931755774352,A,0.8786980299157259,Y,AY
23489,United Kingdom,2582.07,869,21.195121951219512,14.755032213104656,41,0.00013387444679564554,0.7737609799480888,A,0.6961522678219688,Y,AY
22704,United Kingdom,2536.76,6078,35.752941176470586,21.376814228611487,170,0.0001315252265249671,0.7762854004106288,A,0.5979036556209202,Y,AY
22037,United Kingdom,2523.84,5730,17.90625,15.236195509542913,320,0.00013085535396047435,0.7769412834228497,A,0.850887009258941,Y,AY
37410,Denmark,2516.4,25164,12582.0,9291.383104791234,2,0.00013046960691095224,0.7773331308753083,A,0.7384663093936762,Y,AY
22818,United Kingdom,2515.62,5746,36.138364779874216,31.15101599160341,159,0.00013042916568801845,0.7775940255000896,A,0.8619929590436725,Y,AY
22629,France,2514.0,1320,17.83783783783784,14.180854377556125,74,0.0001303451723788483,0.7777243706724685,A,0.7949872908629949,Y,AY
20725,France,2511.1,1534,17.837209302325583,17.014775907404907,86,0.00013019481398588941,0.7778545654864544,A,0.9538922607801968,Y,AY
22789,United Kingdom,2480.61,1267,9.598484848484848,9.596325512176342,132,0.00012861397695095264,0.7792766810909204,A,0.9997750336284746,Y,AY
23230,United Kingdom,2477.92,5976,41.5,33.200176931030775,144,0.00012847450657955283,0.7795337586864294,A,0.800004263398332,Y,AY
22352,Netherlands,2473.05,1171,61.63157894736842,42.480336008186434,19,0.0001282220081748253,0.779790255068978,A,0.6892624971439302,Y,AY
23147,United Kingdom,2465.1,1670,12.37037037037037,10.098574408582765,135,0.0001278098187872311,0.7800461069843457,A,0.8163518234483074,Y,AY
21731,Australia,2464.2,1668,128.30769230769232,120.03845537672822,13,0.00012776315583769212,0.7801738701401835,A,0.9355515107298962,Y,AY
22551,France,2463.0,1516,19.94736842105263,19.534512867805436,76,0.00012770093857164018,0.7804293160878901,A,0.9793027559058135,Y,AY
22554,Germany,2455.2000000000003,1488,14.446601941747574,7.546883729478725,103,0.00012729652634230247,0.7810666106549238,A,0.5223985377260139,Y,AY
23396,United Kingdom,2454.2799999999997,575,7.666666666666667,6.1056759887238785,75,0.00012724882643832928,0.7811938594813621,A,0.796392520268332,Y,AY
23407,United Kingdom,2450.73,239,3.8548387096774195,3.538299926094676,62,0.00012706476702625892,0.7815751761430642,A,0.9178853364764431,Y,AY
23342,United Kingdom,2443.71,282,3.0,2.3371704241235487,94,0.00012670079601985497,0.7820821820517354,A,0.7790568080411829,Y,AY
21481,Netherlands,2442.33,863,41.095238095238095,29.963151973557057,21,0.0001266292461638952,0.7822088112978993,A,0.7291149379428716,Y,AY
22972,United Kingdom,2433.86,1370,9.647887323943662,9.265353126275865,142,0.00012619009596101185,0.7828405928966834,A,0.960350470022754,Y,AY
23100,United Kingdom,2427.12,1892,18.192307692307693,17.474573441230255,104,0.00012584064231668668,0.7830925920078509,A,0.9605473773192106,Y,AY
22077,Germany,2420.7,1406,18.025641025641026,13.290924898165839,78,0.0001255077799433087,0.7838467326744388,A,0.7373343826862984,Y,AY
23389,United Kingdom,2409.79,517,7.28169014084507,5.735062830871541,71,0.00012494212129945302,0.7844726928110293,A,0.7876005048198828,Y,AY
21390,Netherlands,2406.96,2232,202.9090909090909,122.54750470364914,11,0.00012479539224701381,0.7845974882032762,A,0.603952756155977,Y,AY
22556,Netherlands,2387.7,1610,67.08333333333333,48.517963205633315,24,0.0001237968051268799,0.7852176823547353,A,0.7232491409535401,Y,AY
21682,United Kingdom,2382.39,459,3.5307692307692307,3.39673455030673,130,0.0001235214937246,0.78534120384846,A,0.9620381079300107,Y,AY
22376,United Kingdom,2379.22,467,2.6235955056179776,2.3814026380949214,178,0.0001233571364467794,0.7854645609849067,A,0.9076866586314689,Y,AY
23266,United Kingdom,2346.32,1735,17.525252525252526,14.14166187903269,99,0.00012165134640252163,0.7879125843479846,A,0.8069305625499921,Y,AY
23240,Netherlands,2344.15,625,89.28571428571429,75.33638847576533,7,0.00012153883684641102,0.7882774072124562,A,0.8437675509285717,Y,AY
84997C,Netherlands,2339.5,658,65.8,39.128846988720056,10,0.00012129774494045967,0.7887628366917379,A,0.5946633280960495,Y,AY
23352,United Kingdom,2325.45,1693,22.573333333333334,17.632259542570733,75,0.00012056928445043467,0.7903360780354441,A,0.7811101392160691,Y,AY
23264,United Kingdom,2315.81,1663,16.7979797979798,15.3722382938482,99,0.00012006947241315064,0.7909379642378902,A,0.9151242279560864,Y,AY
22296,Netherlands,2312.85,1585,144.0909090909091,100.11239138633593,11,0.00011991600315688915,0.7912978164612815,A,0.6947863124603755,Y,AY
22078,Netherlands,2310.0,1200,100.0,80.79153871088684,12,0.00011976823715001575,0.7914175846984315,A,0.8079153871088685,Y,AY
21210,Sweden,2279.3999999999996,1572,174.66666666666666,136.8356678647786,9,0.00011818169686569084,0.793086144449161,A,0.783410312202931,Y,AY
23231,United Kingdom,2273.84,5452,38.394366197183096,25.374348399272122,142,0.00011789342353298348,0.7933219468505435,A,0.6608872840602791,Y,AY
22829,United Kingdom,2261.27,224,2.5168539325842696,2.316503829002986,89,0.00011724169767108923,0.7944979864275702,A,0.9203966106306506,Y,AY
15056n,United Kingdom,2259.44,180,2.6865671641791047,2.3497837116706606,67,0.00011714681634036,0.7947323194645194,A,0.8746417148996347,Y,AY
84970L,Netherlands,2241.2400000000002,2820,188.0,130.64236897510918,15,0.00011620318780523867,0.7956651066410312,A,0.6949062179527083,Y,AY
22467,Netherlands,2212.8,1052,70.13333333333334,68.10272353130198,15,0.0001147286385998073,0.7972790977016152,A,0.9710464381839634,Y,AY
22609,United Kingdom,2205.62,6445,45.38732394366197,42.86724494578388,142,0.00011435637195792975,0.7978511797597136,A,0.9444761493097458,Y,AY
23265,United Kingdom,2198.54,1604,16.2020202020202,14.183189099070633,99,0.00011398929008822321,0.7983076092528114,A,0.8753963346683247,Y,AY
21843,Netherlands,2193.0,220,20.0,13.935566009315876,11,0.00011370205370995002,0.79876305675006,A,0.6967783004657938,Y,AY
22630,Australia,2182.2,1316,164.5,101.08977622461559,8,0.0001131420983154824,0.7992169431124078,A,0.6145275150432559,Y,AY
DOT,United Kingdom,322647.47000000003,2938,6.662131519274377,53.238798599849986,441,0.01672853623498381,0.01672853623498381,A,7.991256018561553,Z,AZ
22423,United Kingdom,277436.6,21347,41.53112840466926,56.07162646330842,514,0.014384455628958466,0.031112991863942275,A,1.3501108353464435,Z,AZ
85123A,United Kingdom,233717.27,88461,146.70149253731344,252.920240959092,603,0.012117707973772407,0.04323069983771468,A,1.7240468149617625,Z,AZ
85099B,United Kingdom,164726.02,86541,146.67966101694915,187.27653330084368,590,0.008540668843349886,0.051771368681064564,A,1.2767723350492572,Z,AZ
47566,United Kingdom,139077.35,25240,46.654343807763404,71.82223892531158,541,0.0072108437389591966,0.05898221242002376,A,1.539454487265989,Z,AZ
84879,United Kingdom,122311.97,74933,129.41796200345422,243.2498994590601,579,0.006341596982357408,0.06532380940238117,A,1.879568304842937,Z,AZ
22086,United Kingdom,118881.79000000001,34912,115.60264900662251,182.03302170111104,302,0.006163749964302326,0.0714875593666835,A,1.57464403510929,Z,AZ
79321,United Kingdom,83751.21,16434,37.265306122448976,73.19947775496252,441,0.004342309428952715,0.0758298687956362,A,1.9642795235449966,Z,AZ
22197,United Kingdom,75466.03,73203,131.4236983842011,564.690247438792,557,0.003912741721995759,0.07974261051763196,A,4.296715542032527,Z,AZ
84347,United Kingdom,71129.27,11989,47.956,1312.8102303331848,250,0.003687890596392858,0.08343050111402481,A,27.375307163507898,Z,AZ
22386,United Kingdom,68490.59,35075,65.43843283582089,92.6625065904914,536,0.003551081050071211,0.08698158216409602,A,1.416025760014352,Z,AZ
21137,United Kingdom,67464.61,19403,57.74702380952381,127.91164741083843,336,0.0034978863245512227,0.09047946848864724,A,2.2150344549833383,Z,AZ
85099F,United Kingdom,64215.5,33744,62.25830258302583,118.3196572406077,542,0.003329427373466163,0.0938088958621134,A,1.9004639113445168,Z,AZ
48138,United Kingdom,64036.21,9645,18.764591439688715,38.372609311191255,514,0.0033201315954407835,0.09712902745755418,A,2.0449477642252263,Z,AZ
82484,United Kingdom,61027.57,10782,24.560364464692483,113.79231011348149,439,0.003164140465995319,0.1002931679235495,A,4.633168627325021,Z,AZ
22114,United Kingdom,60473.8,11731,33.23229461756374,58.767815283415814,353,0.0031354287531439925,0.10342859667669349,A,1.76839474853344,Z,AZ
22502,United Kingdom,59685.09999999999,3672,11.807073954983922,16.17110370256246,311,0.003094536455031344,0.10652313313172483,A,1.3696114519327138,Z,AZ
